ID,NG,EG,H,g,X,Y,Hnorm,Z,TCR
5032.0,358288.500874,333171.63564700005,159.43479410599684,981145.835391927,358633.333,333166.667,156.38,2.074,6.2854488267818985e-09
5037.0,357950.022153,338805.830531,140.37071584471778,981155.8099380065,358300.0,339000.0,138.731,2.062,3.1693792214852453e-09
5038.0,360959.275722,338606.75256,140.8436057006984,981149.4183712268,360900.0,338700.0,141.161,2.054,1.2730275354527806e-08
5040.0,361072.296581,332960.748141,150.0,981143.7152957328,360800.0,333000.0,149.978,2.067,9.463319171446932e-09
5041.0,365951.817177,330487.561374,150.67984698367945,981133.681261905,365966.667,330833.333,152.266,2.053,6.333452435232772e-09
5042.0,362347.951679,333059.37891200004,147.9772013428017,981142.0151871068,362500.0,333100.0,149.316,2.061,1.2649069208506578e-08
5043.0,358393.785805,335009.464671,144.54235919745966,981149.6537770646,358800.0,335000.0,145.645,2.07,9.45900133801665e-09
5044.0,357738.769154,333162.359305,161.38495731187868,981145.720946364,358300.0,333000.0,156.07,2.076,3.1403888761873166e-09
5045.0,363490.474858,338107.116903,142.09071934484928,981145.382105711,363800.0,338000.0,141.986,2.046,9.577978799817434e-09
5046.0,361345.667165,331535.881296,152.4084326145293,981141.1329374792,361300.0,331500.0,153.914,2.069,1.2597082808101657e-08
5049.0,358166.304981,331477.949226,165.0,981142.6086803344,358550.0,331500.0,166.534,2.078,9.404085723076721e-09
5050.0,362160.653098,335786.258767,155.7293811814913,981145.6069694654,362100.0,335900.0,152.155,2.056,1.2699202500060346e-08
5052.0,362421.82783,334231.571247,156.0,981143.534952446,362500.0,334100.0,153.488,2.059,1.2671339371502292e-08
5053.0,357998.722433,336534.291946,139.70190512052096,981153.1072937418,358300.0,336500.0,141.258,2.068,6.315759715398385e-09
5054.0,363671.383601,339714.219861,139.11223784108006,981146.0632917756,363800.0,340000.0,139.677,2.041,9.605979319267225e-09
5056.0,360299.51213,340618.978952,142.0,981151.5785473376,360300.0,340500.0,140.495,2.051,1.2756105132202716e-08
5057.0,360191.678201,341313.096311,142.0,981151.983792153,360300.0,341250.0,139.774,2.049,9.575430067761871e-09
5058.0,361252.363134,336277.332693,150.0,981147.6021407688,361300.0,336250.0,148.979,2.058,9.516138044500754e-09
5059.0,365183.01991,339832.330955,136.0,981144.6850233796,365100.0,339900.0,138.057,2.036,1.283753606524403e-08
5060.0,364759.97991,336107.99382800004,145.0,981142.516201866,364800.0,336000.0,143.581,2.046,9.564920132477578e-09
5061.0,365166.63671,337030.99430900003,141.12283150246927,981142.872842324,364800.0,337000.0,141.567,2.044,9.582438558248224e-09
5062.0,361896.805068,338559.824993,140.0,981147.7916080687,361900.0,338700.0,141.235,2.051,1.2748667279076321e-08
5063.0,362279.972145,334848.851776,153.43576189229498,981144.3156885024,362100.0,334900.0,152.744,2.058,1.2681285403620165e-08
5064.0,365646.195639,334105.887116,149.0,981138.5327790772,365800.0,334000.0,148.971,2.047,9.54888165894287e-09
5065.0,363907.631077,334981.955302,154.16389321446695,981141.9044455658,363800.0,335000.0,152.492,2.052,9.535610709284224e-09
5067.0,363546.164778,333885.241529,156.12111726893312,981141.4739716768,363800.0,334000.0,154.195,2.054,9.517235951492783e-09
5068.0,366387.70058,333530.913785,150.19276680474496,981136.6216824364,366300.0,333500.0,149.998,2.046,1.2734260161184773e-08
5069.0,366831.39485099993,335051.411637,144.0,981138.6607099156,366800.0,335000.0,145.079,2.041,9.579334062469305e-09
5070.0,372578.641098,339369.53305300005,144.0,981129.01307695,372700.0,339300.0,144.651,2.009,1.2972598704822915e-08
5071.0,368841.8326859999,336158.830089,144.32804408486663,981136.0813910386,368800.0,336000.0,144.479,2.032,9.62432742629175e-09
5072.0,371699.061667,337038.479815,145.11068729066756,981129.4866870808,371800.0,337000.0,145.782,2.018,9.680870477605586e-09
5073.0,373511.145358,336049.56288200006,150.25174242096548,981125.1873796616,373800.0,336000.0,150.908,2.012,9.693794404906279e-09
5074.0,378655.910494,335550.140327,141.4766265829967,981118.2489358787,378700.0,335700.0,142.199,1.994,1.3014750687960738e-08
5075.0,378711.560517,330867.638037,146.67372884347236,981115.9907588172,378800.0,331000.0,146.781,2.002,9.691933799804174e-09
5076.0,379983.71121,333860.208157,145.11030001840496,981116.2976789002,379800.0,334000.0,144.756,1.993,9.753396203964655e-09
5077.0,366199.876498,337761.51421,140.0,981142.2187947126,366100.0,337900.0,140.685,2.038,1.2816824722295373e-08
5078.0,369791.748757,340591.481384,138.44246463156014,981135.2514273826,369800.0,341000.0,138.688,2.016,9.708544215948543e-09
5079.0,378181.564493,340829.670971,137.0836274084486,981125.2167058818,378100.0,340900.0,138.947,1.985,1.3110411295038045e-08
5080.0,376052.3844590001,338521.238392,148.0,981123.6408741948,376050.0,338500.0,144.499,1.999,9.765152122231239e-09
5081.0,364214.011708,336802.884842,141.65796891069112,981143.4089567804,364100.0,336900.0,143.174,2.047,1.275866053726833e-08
5082.0,365674.222619,342778.4839580001,134.35837348167746,981144.6087130728,365800.0,343000.0,135.309,2.025,9.680248765270621e-09
5083.0,375235.025079,339376.456332,147.0,981125.2073673478,375300.0,339500.0,147.988,1.999,1.3025255854928761e-08
5084.0,376837.99605,344493.8942679999,128.53963528442182,981131.0129468684,376800.0,344500.0,128.134,1.981,1.6444840321652865e-08
5085.0,372429.760567,337488.479119,147.0,981128.0952383102,372300.0,337500.0,146.663,2.015,1.2930258793563508e-08
5086.0,372954.864203,335249.466194,148.0,981125.7045944622,372800.0,335000.0,148.328,2.018,9.669383437521057e-09
5087.0,378702.152959,337533.15969,137.0,981120.4235222606,378700.0,337700.0,136.226,1.99,1.305489601976389e-08
5088.0,374096.533141,342840.308091,137.55379838095905,981130.9286230817,373800.0,343000.0,135.328,1.996,9.800993879196946e-09
5092.0,358395.360869,351475.045232,130.09163569188968,981157.7384375788,358550.0,351500.0,126.999,2.023,9.701602064773184e-09
5093.0,357584.8081549999,350649.345134,127.78957271262244,981158.3801967852,358300.0,351000.0,129.419,2.026,3.227441075417771e-09
5095.0,367382.956137,339231.053164,140.87443066160813,981141.1672264524,367500.0,339100.0,141.538,2.03,1.2867301409994723e-08
5096.0,370556.744736,343161.688089,138.32416704661478,981135.8074595368,370800.0,343000.0,138.455,2.007,9.755474155896274e-09
5097.0,370711.953653,341672.089936,138.0120753132107,981134.3710893572,370800.0,342000.0,138.576,2.009,9.737995525635577e-09
5098.0,372853.352292,346780.285933,124.14893782696788,981137.4067584268,372800.0,347000.0,125.042,1.989,9.843503009064651e-09
5099.0,371123.901488,341250.477524,138.92018260753684,981132.9885788736,370800.0,341000.0,139.058,2.012,9.730975338987006e-09
5100.0,368767.378978,340396.178849,139.0,981137.5748927008,368800.0,340000.0,140.909,2.022,9.685215240418668e-09
5101.0,366528.895902,340811.8980989999,139.0,981142.7991957,366800.0,341000.0,138.538,2.027,9.66434832537929e-09
5102.0,369439.517212,344710.424933,136.17406572788423,981138.7356215244,369500.0,344900.0,135.303,2.006,1.3017926624136e-08
5104.0,360089.103126,351327.293334,128.43995712899778,981156.218361854,359800.0,351000.0,127.111,2.021,9.718434503373928e-09
5105.0,362238.721216,350461.564302,133.0,981153.1803612596,362300.0,350500.0,131.469,2.015,1.2990293583328873e-08
5106.0,363791.20207,349498.402838,133.0,981150.5450207654,363800.0,349500.0,132.839,2.013,1.625078638108361e-08
5107.0,369275.076617,353145.156774,118.98231490837378,981148.093035582,369100.0,353100.0,118.978,1.983,1.3176611567664335e-08
5113.0,371392.528144,332011.336306,153.93545467826698,981126.4406911208,371800.0,332000.0,151.124,2.028,9.60388995559499e-09
5114.0,373360.907472,330558.8101269999,146.53219906069353,981121.9326095805,373300.0,330750.0,147.3,2.025,9.609572547503527e-09
5115.0,379088.434138,335669.8091719999,141.0,981118.1467462764,378800.0,336000.0,141.999,1.993,9.768112648966084e-09
5116.0,380691.916031,336933.691798,140.22795868054163,981118.7696316324,380800.0,337000.0,140.25,1.983,9.811111973418985e-09
5117.0,379889.364193,337108.87631300004,139.70400054326234,981119.4974014967,379800.0,337000.0,140.921,1.987,9.79949365206869e-09
