ID,Xp,Yp,Hp,g,X,Y,Hnorm,Z,TCR
4537.0,328969.711104,336058.757433,211.0,981103.1804511922,328300.0,335500.0,214.782,2.125,9.008411421094146e-06
4538.0,333386.851905,337300.852002,206.0,981107.2498794001,333300.0,336500.0,205.0,2.122,6.507274209947823e-06
4539.0,332122.579085,336585.769586,199.0912528890185,981106.5579544492,332300.0,335500.0,223.548,2.125,8.868680478831404e-06
4540.0,329359.043746,335751.036631,210.4749777849428,981102.6768356535,328300.0,335500.0,214.782,2.125,9.617991989068176e-06
4541.0,334340.586156,337606.354645,216.6691785581573,981104.7341029629,334300.0,336500.0,203.332,2.121,1.1212199534621368e-05
4542.0,336985.7022589999,338136.557126,198.376797772904,981103.7277485919,336300.0,337500.0,194.0,2.117,9.70712711817451e-06
4543.0,331663.356334,333973.210859,217.8714304560417,981101.6344776831,331300.0,333500.0,220.776,2.13,6.133070376722581e-06
4545.0,333075.704682,334702.0210499999,218.3324309158519,981105.4653171042,332300.0,334500.0,197.226,2.127,7.179738807218943e-06
4546.0,327464.60394,340749.970963,184.0,981112.692385477,327300.0,340500.0,193.784,2.114,3.0356552130835954e-06
4547.0,326749.31023,343485.588064,201.0,981118.0123221396,326300.0,342500.0,204.39,2.107,1.7511853454291497e-05
4548.0,325961.476777,345107.646486,191.9780371423047,981120.917994708,325300.0,344500.0,192.443,2.1,9.314818790827234e-06
4549.0,325261.36716,346368.525875,191.0447835953091,981123.4278625769,325300.0,345500.0,199.0,2.097,8.060723098591266e-06
4550.0,324687.82181,345269.758843,209.1242923990454,981120.4154804563,324300.0,344500.0,202.0,2.1,8.476553345266556e-06
4551.0,326751.818981,347302.211761,186.8495708835471,981128.0607161127,326300.0,346500.0,201.067,2.094,9.18391162747119e-06
4552.0,322416.364307,341416.272903,213.9095223005573,981107.8805081355,322300.0,340500.0,231.362,2.111,1.0047294679083239e-05
4553.0,324027.864056,341792.203266,207.9614877319036,981110.8262764501,323300.0,341500.0,214.115,2.109,7.497812378097305e-06
4554.0,327233.8643240001,344599.797974,235.9808780190303,981121.3391184629,327300.0,343500.0,206.0,2.104,1.0051670969261697e-05
4555.0,328595.498679,343414.621562,202.6278988202112,981120.2175618226,328300.0,342500.0,197.782,2.107,1.1811696619057489e-05
4556.0,325001.533834,337461.5469329999,202.0,981101.2690009887,324300.0,336500.0,203.0,2.123,1.6244177280843833e-05
4557.0,324595.081632,336045.808541,207.4560083734414,981096.7488157105,324300.0,335500.0,207.79,2.125,6.156016120260271e-06
4558.0,325771.3753559999,339194.83352,200.0,981106.3430617582,325300.0,338500.0,223.649,2.118,8.537521176095182e-06
4559.0,326610.195063,340575.0240260001,185.0,981110.9060065178,326300.0,339500.0,191.214,2.116,1.3512892804866184e-05
4560.0,328116.2934600001,341652.2413770001,185.0,981115.3464330985,328300.0,340500.0,197.462,2.114,9.419469544847759e-06
4561.0,331462.340575,345949.705544,161.0,981131.0802180832,331300.0,345500.0,161.0,2.097,4.484370744929624e-06
4562.0,327560.582849,342330.768874,203.0,981115.8168882371,327300.0,341500.0,184.216,2.11,7.99235081005386e-06
4563.0,324888.51979,340806.730329,214.3528769519955,981109.2898895186,324300.0,340500.0,219.0,2.113,6.574785582123534e-06
4564.0,329970.225066,345985.762571,183.0155655657054,981129.2266344813,329300.0,345500.0,197.829,2.097,8.489522008062379e-06
4565.0,329603.684789,343384.9513119999,195.0094259582511,981121.7485431017,329300.0,342500.0,179.823,2.107,1.1606313797864851e-05
4566.0,325318.751317,343452.335147,201.6027383513432,981116.9069248072,325300.0,342500.0,204.788,2.107,9.445861756174752e-06
4567.0,330683.5415399999,349475.048652,166.3837309087612,981139.4259495608,330300.0,348500.0,169.0,2.087,1.327054058418218e-05
