OBJECTID_1;NG;EG;delta_g0''
4801;350380.111282;330566.436124;876.5393897922477
4802;341136.302999;334196.03295599995;1288.51327976631
4803;344890.944536;335246.269974;1117.9653307877015
4804;340523.8653100001;333594.334833;1312.94495665282
4805;341014.320847;335386.671291;1287.9911848995835
4806;342947.573398;335533.774643;1210.7229462648975
4807;341421.9541769999;335458.841347;1276.9579055005452
4808;343078.807806;332151.82655;1202.4046686417423
4809;342838.91089799994;331896.678155;1213.5283212551149
4810;341794.409486;338274.690985;1246.715414684848
4811;342329.85469;338376.829788;1224.038224149379
4812;340506.913734;336254.953065;1311.636836417485
4813;346114.668362;334274.21789;1062.491158292396
4814;345268.948925;335463.2618890001;1098.3132429667749
4815;346771.869453;338809.668364;1031.3975782626076
4816;347920.787942;341405.325174;979.5467591646593
4817;344165.494389;337633.275283;1148.8130049888277
4818;348935.542487;338835.476716;936.4457664014772
4819;348551.412429;339355.877523;952.3610954231117
4820;347124.201202;342010.088969;1009.2424791798694
4821;348804.506746;342309.094888;934.1536115396302
4823;340623.910099;347735.671414;1303.7510238020914
4824;335744.868793;347389.061913;1525.7213463020744
4825;352122.863666;342283.339094;791.1683786044596
4826;350417.298337;342096.264194;864.3965030711843
4827;350632.954118;343842.296989;855.3404450113885
4828;349879.858006;344242.557861;883.2003173617413
4829;350008.297599;345204.472478;877.0551087931963
4830;347480.439799;343352.657418;997.4323135532904
4831;351068.564419;345828.596892;830.7670348400716
4832;351131.593182;343861.440658;831.0868546566926
4833;349411.489814;346362.3994110001;904.1706236135215
4834;346253.689174;345217.025544;1046.573086008546
4835;353161.3913920001;348806.929918;735.3479881497333
4836;350252.650386;347676.731468;866.7805830436992
4837;349169.313086;345546.791183;918.1889108303003
4838;345294.201137;349356.809087;1092.0139511432499
4839;344796.036099;346725.164689;1113.0876555158757
4840;350553.189195;347879.553338;853.0554862667341
4845;329987.534789;339001.556808;1791.4544783027377
4851;330372.7366129999;344937.725639;1755.7515696199844
4854;330209.6038820001;348567.44619;1761.225684052799
4865;349910.987658;336393.755085;891.7367591770599
4866;352438.149085;331084.435863;784.4165546941804
4867;350040.295101;331323.14519199997;892.6281728601316
4868;351347.942362;334394.461753;838.3349289901089
4869;349251.733733;336699.235809;928.9541218103841
4870;350061.785101;334128.55643699993;892.6725919437595
4871;354045.02791;340667.067354;704.2758690788178
4872;349916.19860500004;340191.798205;896.5199431024957
4873;350193.342697;339475.618979;884.98973576352
4874;352224.429253;344597.632275;782.1334708171198
4875;350442.641779;338674.647571;869.4769605248002
4876;353169.434501;342702.932849;740.2909571380587
4877;351846.357306;343480.366682;800.9201769029023
4878;350272.193985;349471.57498900004;867.2080627558753
4879;343940.250179;347739.133861;1152.5046800036216
4880;347203.207419;348270.414404;1004.1211831730325
4881;349443.764839;349750.194795;901.1124659540365
4882;347576.323114;347084.749847;988.7181776354555
4883;347562.379936;348690.446531;987.4956819890067
4884;330241.944704;335174.617098;1769.2337882044958
4896;330931.756078;323675.967744;1725.09859472455
4903;329923.645913;323454.715539;1771.5040916367434
4914;330194.314582;321613.05526699993;1766.6627709337045
4915;331094.189621;321653.168634;1724.6970995644806
4916;333731.872437;324584.35963;1606.015626013279
4917;334840.248761;323276.95046;1566.0166943805525
4924;331630.330864;323858.989895;1694.089277448249
4925;336154.034938;321770.895922;1506.9092444708804
4940;332718.68266;320607.254828;1662.0710305523826
4944;332368.309863;323215.183569;1663.4402043292066
4945;330243.141181;347171.33044800005;1761.4631448355503
4947;339747.149838;349937.68725;1353.4990961189615
4956;336765.507824;350113.240193;1471.9906705705216
4958;338528.156514;349233.920771;1398.1369188993704
4966;333877.140698;349313.588891;1596.4600157525856
4967;335289.760697;349932.992388;1535.5477308107074
5110;344359.514015;349419.648011;1135.1169915181817
5140;346972.930408;350153.237196;1015.4738612181973
