OBJECTID_1;NG;EG;delta_g0'
4940;332718.68266;320607.254828;1631.9949999999953
4944;332368.309863;323215.183569;1637.5029999999097
4945;330243.141181;347171.33044800005;1740.5549999999348
4947;339747.149838;349937.68725;1333.6450000000186
4956;336765.507824;350113.240193;1455.3839999999618
4958;338528.156514;349233.920771;1381.0229999999283
4966;333877.140698;349313.588891;1579.3049999999348
4967;335289.760697;349932.992388;1518.6030000000028
5110;344359.514015;349419.648011;1118.1879999999655
5140;346972.930408;350153.237196;998.935999999987
